title,year,genres,director,cast,keywords,overview,tagline,vote_average,vote_count,runtime,popularity,id,genres_token,director_token,original_language
Avatar,2009,Action Adventure Fantasy Science Fiction,James Cameron,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,culture clash future space war space colony society,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Enter the World of Pandora.,7.2,11800,162.0,150.437577,19995,Action Adventure Fantasy ScienceFiction,JamesCameron,en
Pirates of the Caribbean: At World's End,2007,Adventure Fantasy Action,Gore Verbinski,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,ocean drug abuse exotic island east india trading company love of one's life,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","At the end of the world, the adventure begins.",6.9,4500,169.0,139.082615,285,Adventure Fantasy Action,GoreVerbinski,en
Spectre,2015,Action Adventure Crime,Sam Mendes,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,spy based on novel secret agent sequel mi6,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",A Plan No One Escapes,6.3,4466,148.0,107.376788,206647,Action Adventure Crime,SamMendes,en
The Dark Knight Rises,2012,Action Crime Drama Thriller,Christopher Nolan,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,dc comics crime fighter terrorist secret identity burglar,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",The Legend Ends,7.6,9106,165.0,112.31295,49026,Action Crime Drama Thriller,ChristopherNolan,en
John Carter,2012,Action Adventure Science Fiction,Andrew Stanton,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,based on novel mars medallion space travel princess,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","Lost in our world, found in another.",6.1,2124,132.0,43.926995,49529,Action Adventure ScienceFiction,AndrewStanton,en
Spider-Man 3,2007,Fantasy Action Adventure,Sam Raimi,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,dual identity amnesia sandstorm love of one's life forgiveness,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",The battle within.,5.9,3576,139.0,115.699814,559,Fantasy Action Adventure,SamRaimi,en
Tangled,2010,Animation Family,Byron Howard,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,hostage magic horse fairy tale musical,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",They're taking adventure to new lengths.,7.4,3330,100.0,48.681969,38757,Animation Family,ByronHoward,en
Avengers: Age of Ultron,2015,Action Adventure Science Fiction,Joss Whedon,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,marvel comic sequel superhero based on comic book vision,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",A New Age Has Come.,7.3,6767,141.0,134.27922900000002,99861,Action Adventure ScienceFiction,JossWhedon,en
Harry Potter and the Half-Blood Prince,2009,Adventure Fantasy Family,David Yates,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,witch magic broom school of witchcraft wizardry,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",Dark Secrets Revealed,7.4,5293,153.0,98.885637,767,Adventure Fantasy Family,DavidYates,en
Batman v Superman: Dawn of Justice,2016,Action Adventure Fantasy,Zack Snyder,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,dc comics vigilante superhero based on comic book revenge,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Justice or revenge,5.7,7004,151.0,155.790452,209112,Action Adventure Fantasy,ZackSnyder,en
Superman Returns,2006,Adventure Fantasy Action Science Fiction,Bryan Singer,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,saving the world dc comics invulnerability sequel superhero,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",,5.4,1400,154.0,57.925623,1452,Adventure Fantasy Action ScienceFiction,BryanSinger,en
Quantum of Solace,2008,Adventure Action Thriller Crime,Marc Forster,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,killing undercover secret agent british secret service,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","For love, for hate, for justice, for revenge.",6.1,2965,106.0,107.928811,10764,Adventure Action Thriller Crime,MarcForster,en
Pirates of the Caribbean: Dead Man's Chest,2006,Adventure Fantasy Action,Gore Verbinski,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,witch fortune teller bondage exotic island monster,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",Jack is back!,7.0,5246,151.0,145.84737900000005,58,Adventure Fantasy Action,GoreVerbinski,en
The Lone Ranger,2013,Action Adventure Western,Gore Verbinski,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,texas horse survivor texas ranger partner,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",Never Take Off the Mask,5.9,2311,149.0,49.046956,57201,Action Adventure Western,GoreVerbinski,en
